title	onet_code	onet_name	job_zone	company	city	state	description_all
Service Desk Agent -needed	43-4081.00	"Hotel, Motel, and Resort Desk Clerks"	2	Randstad	DENVER	CO	"Service Desk Agent -needed in DENVER CO Location: Denver, CO Job Type: Contract DatePosted: Wednesday, July 16, 2014 Reference Number: 371126 Description role: Service Desk Agent -Entry Level role with 1 - 2 years experience Location: Downtown Denver CO Duration: 6 month contract role Description: ***Responsibilities may include: Answer, evaluate, and prioritize incoming requests for assistance from internal customers experiencing problems with computer hardware, software, and other computer-related technologies. Provide quick, responsive, high quality and consistent customer service. Knowledge, Skills Good understanding of computers, mobile devices, and Microsoft Office applications, (Word, PowerPoint, Excel, Outlook) Strong organizational skills. Strong written and oral communication skills. Excellent analytical and problem solving skills. Experience (1-2 years) Data recovery from crashed hard drive Virus remediation PC repair (replacement keyboard, display/LCD, RAM etc"
Admin Assistant/Data Entry	43-9021.00	Data Entry Keyers	2	E-Solutions Inc.	ELWOOD	IA	"This is a PERMANENT position with Salary/HealthCare/Dental/Vision/401k/Bonus Plan & Relocation AssistanceClient is one of the world's leading information technology companies. Through its Global Network Delivery Model™, Innovation Network, and Solution Accelerators, Client focuses on helping global organizations address their business challenges effectively. Client has over 238,000 of the world's best trained IT consultants in 50 countries. The company generated consolidated revenues of US $11 BILLION for fiscal year ended 31 March, 2013"
Data Entry Clerical Admin Customer Service Call Center	43-9021.00	Data Entry Keyers	2	Prodigy	SAN DIEGO	CA	"We are seeking a Customer Service Representative who enjoys building relationships, helping others, solving problems, and organizing a demanding schedule. The ideal candidate is independent, confident, and customer focused with good time management skills, strong communication skills and excellent computer aptitude that can help resolve customer problems both internally and externally. any"
7448- Claims and Loan Handler	53-7062.00	"Laborers and Freight, Stock, and Material Movers, Hand"	2	"ReqRoute,Inc"	PHOENIX	AZ	"Exciting new opportunity as a Loan Processor just off I-17 and Dunlap!Prerequisites:Experience with loan servicing/processing background, ( preferably handled claims and loan modification).Good to have experience: • Escrow set up/Escrow Analysis• MSP Experience• Loan Modification• Loss Mitigation• Pay offIf you bring willingness, flexibility and a desire to impress please apply now.Regards,Punita AroraReqRoute,Inc623-349-7448email: punita@reqrouteinc.comwebsite: http://www.reqrouteinc.com... Companies across U.S. have engaged ReqRoute, Inc to deliver skilled, dedicated IT professionals. Recruiting is our passion and we support Fortune 1000 companies with their hiring needs. We always seek to deliver competitive and sought-after career opportunities to our potential consultants and employees. We invite you to review the position requirements below and apply today if your skills match our need."
Order Picker	53-7064.00	"Packers and Packagers, Hand"	2	Allied Staffing	EDGERTON	KS	"This is an opportunity to work for a strong company in a brand new state of the art warehouse. In this position you will be working with a scan gun or through the pick to light system. This is a very exciting opportunity to work with a company that values its employees. This position includes day shift hours with mandatory overtime including Saturdays, overtime pay is $15/hour. This is a great team to work with! Pay is $10, overtime pay would be $15 / hour"
Holiday Decorator - YULO - LOGS	27-1026.00	Merchandise Displayers and Window Trimmers	2	Resource Employment Solutions	MONTEBELLO	CA	"Employee will be filling the sponge with cream, roller the filling sponge as tight as possible, freezer, cutter and decorate.Required Skills:Doing Basic MathematicsLifting 25 poundsReaching over shoulderStanding duration of the shiftWalkingSlip resistant shoes required"
Dynamic Sales Professional	41-2031.00	Retail Salespersons	2	SolutionswithAmeriPlan	HILLSBORO	OR	"If you are good at sales, we have a great position available for you. You will be explaining our discount health care plans, (no license required), to people that have requested additional information. You will not be cold calling or telemarketing. We can give you ways to have your phone ringing off the hook. We offer incentives, bonuses, and daily pay. The benefits are designed to help you financially and help save you money in every aspect of your life. Contact me today through this site and I will be happy to send you additional information. internet, phone"
Transporter/Driver	53-3041.00	Taxi Drivers and Chauffeurs	1	Hertz	HOBOKEN	NJ	"Hertz Local Edition is seeking professionals to drive our vehicles to various locations while providing our best in class customer service.  As a Transporter you will pick up and drop off customers and deliver vehicles from the Hertz Local addition office to various locations.\\n\\nThe general responsibilities will include but are not limited to;\\n\\n* Transports vehicles from Hertz Local Edition offices to various locations.\\n* Will pick-up and drop-off customers as required.\\n* Must interface with vendors such as body shops, dealerships, and insurance agents.\\n* Maintain courteous and professional behavior & appearance.\\n* Follow all company safety policies and procedures and protect company assets.\\n* Ability to work with minimal supervision while maintaining high energy."
Groundskeeper Aide	37-3011.00	Landscaping and Groundskeeping Workers	1	Liberty Hospital	LIBERTY	MO	"**SUMMARY:** Maintains facility''s grounds to be safe, clean and pleasing in appearance. Maintains roads, parking lots and parking garage during periods of snow. Operates and maintains hospital-owned vehicles.**Required Education/Training:** Ability to read/write"
Catering Attendant - UAA	35-3021.00	"Combined Food Preparation and Serving Workers, Including Fast Food"	1	NANA Regional Corporation	ANCHORAGE	AK	"*Catering Attendant - UAA:* -UAA00175 Company: NANA Management Services *Job:* : Food Preparation & Service *Primary Location:* : US-AK-Anchorage *Shift:* : Variable *Closing Date (Period for Applying) - External:* : Ongoing *Deadline to Fill:* : Aug 30, 2014 *Req ID:* UAA00175"
Unit Clerk	43-6013.00	Medical Secretaries	2	Excela Health	GREENSBURG	PA	"The unit clerk performs clerical functions related to the admission and discharge of patients and the organization of the department.\\n \\n\\n \\nHS Diploma, GED or equivalent knowledge.  Sound judgment, problem solving skills, strong oral and written communication skills, ability to follow directions from other team members; works independently assigned duties.  Strong organizational skills.  Proficient keyboarding skills.\\n\\nPreferred:  Medical Terminology."
Teller Supervisor	43-3071.00	Tellers	2	Berkshire Bank	ARLINGTON	VT	"Accountable for supervising all Teller positions to ensure the efficient and effective operation of the teller line.  Duties may include assigning workflow, training tellers, monitoring customer service, and ensuring programs are in conformance with established procedures.\\n \\n\\n \\n* Demonstrated superior customer service skills\\n* Strong communication skills\\n* Solid computer skills\\n* Strong interpersonal skills"
2 NP's needed for immediate hire at Established Neuro practice within an hour of D.C.	33-9032.00	Security Guards	2	LocumTenens.com	0	MD	Neuro NPA needed for private practice 1 hour west of Baltimore MD This practice is looking for seasoned NPA's preferably with 2-3 yrs of exp but will look at newer grads. Duties will include but not limited to rounding at the hospital and doing new patient consults. No OR - Patient Load is 12-15 daily. M-F 8-4 flexible scheduling. No Call No Weekends. This is an immediate need. Must be a quick learner and licensed to practice in MD. This practice provides a great work environment with good salary and benefits with possible bonuses CME. For more information on this position please contact Lamar Starks at Sign up or sign in for contact information ext 129 or by email at Sign up or sign in for contact information Job ID# 14565
